name	type	type2	code	alternategfx	namestr	version	compactsave	rarity	spawnable	Transmogrify	TMogType	TMogMin	TMogMax	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	ShowLevel	levelreq	cost	gamble cost	magic lvl	auto prefix	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	*comment	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	*quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HratliMin	HratliMax	HratliMagicMin	HratliMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	AnyaMin	AnyaMax	AnyaMagicMin	AnyaMagicMax	AnyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	diablocloneweight	spelldesc	spelldescstr	calc1	spelldesccalc	spelldesccolor
Hand Axe	axe	1wpn	hax	hax	hax	0		3	1	0	xxx			4	8			0	0	0	0			100				35		3	1	0	136	902			hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3		1		1	1					255					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	axe	2ax	1	0		4	ItemTypeAxe3			
Axe	axe	1wpn	axe	axe	axe	0		4	1	0	xxx			5	14			0	0	0	0	1	10	100		32		30		7	1	0	322	1764			axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	2ax	mpi	1	0		4	ItemTypeAxe2	10		
Double Axe	axe	1wpn	2ax	axe	2ax	0		4	1	0	xxx			7	17			0	0	0	0	1	10	100		43		30		13	1	0	698	4070			2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					30					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255					255					255					255	2	2	0	mpi	wax	1	0		4	ItemTypeAxe2	10		
Sickle	scyt	1wpn	mpi	axe	mpi	0		4	1	0	xxx			9	14			0	0	0	0	1	-10	100		40		33		19	1	0	1137	7800		314	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255	1	1	1	1	255					255					255					255					255					255	1	1	1	1	255					255	1	1	1	1	3					255					255					255	1	1	1	1	255					255	1	1	1	1	255					255	2	2	0	wax	xxx	1	0		4	ItemTypeScythe4	-10		
War Axe	axe	1wpn	wax	hax	wax	0		4	1	0	xxx			13	23			0	0	0	0	2		100		67		33		25	1	0	1698	13615			wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255	1	1	1	3	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeAxe3			
Large Axe	axe	1wpn	lax	lax	lax	0		4	1	0	xxx			0	0		1	8	17	0	0	1	-10	100		35		38		6	1	0	283	1525			lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	1					20					255					255					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	btx	gax	1	0		4	ItemTypeAxe4	-10		
Broad Axe	axe	1wpn	bax	lax	bax	0		4	1	0	xxx			0	0		1	13	23	0	0	1		100		48		44		12	1	0	645	3634			bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					20					255	1	1	1	1	20					255					255					255					255					255					1					255					255					255					255					255					255					255	2	2	0	gax	gix	1	0		4	ItemTypeAxe3			
Battle Axe	axe	1wpn	btx	btx	btx	0		4	1	0	xxx			0	0		1	15	40	0	0	1	10	100		54		50		17	1	0	1010	6491			btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	20					255					255	1	1		1	20					255					255					255					255					255					255					255					255					255					255	5	2	0	gix	xxx	1	0		4	ItemTypeAxe2	10		
Great Axe	axe	1wpn	gax	btx	gax	0		4	1	0	xxx			0	0		1	19	44	0	0	2	-10	100		70		63		23	1	0	1533	11614		317	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255	1	1	1	1	20					255					255					255					255					255					255					255					255					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeAxe4	-10		
Giant Axe	axe	1wpn	gix	gix	gix	0		4	1	0	xxx			0	0		1	32	63	0	0	3	10	100		75		63		27	1	0	1928	16214		317	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255		1			20					255				1	1					255					255					255	1	1	2	2	20					255	1	1	1	1	20					255					255	2	2	0	xxx	xxx	1	0		4	ItemTypeAxe2	10		
Wand	nwnd	1wpn	wnd	wnd	wnd	0		1	1	0	xxx			3	5			0	0	0	0			100				19		2	1	0	164	782	1	312	wnd	9wn	7wn	1hs	1hs	5	1hss	1	2					flpwnd	invwnd	invwndu	invwndu	1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	4	6	7	9	1					255					255			1	2	1					255					255					1					255					255					255					20					255					255					255					255	5	8	0	ywn	bwn	1	0		4	ItemTypeWand3			
Yew Wand	nwnd	1wpn	ywn	ywn	ywn	0		1	1	0	xxx			3	10			0	0	0	0		10	100				19		12	1	0	596	3488	1	312	ywn	9yw	7yw	1hs	1hs	5	1hss	1	2					flpywn	invywn			1	2	0	magically charged	0	item_wand	12	item_wand	0	0	5	0	0	0			0	7	0	0	5					255					255	1	2	1	1	1					255					255	3	5	5	9	1					255					255	2	3	2	3	1					255					255					255					20					20					255					255					255	5	8	0	bwn	gwn	1	0		4	ItemTypeWand2	10		
